Artículo;Familia;Fecha;Nº Jumbo;Corrida;Gramaje;Esp.;Hum. Prom.;R/L Prom.;R/T Prom.;Relac. Rig.
AS250N      ;N;31-1-2022 11:13;PM2N013124  ;61297;248.2;401;8.30;17.40;5.6;3.11
AS250N      ;N;31-1-2022 11:46;PM2N013125  ;61297;253.8;406;8.90;17.80;5.7;3.12
AS250N      ;N;31-1-2022 12:19;PM2N013126  ;61297;254.8;409;8.50;17.80;6;2.97
AS250N      ;N;31-1-2022 12:51;PM2N013127  ;61297;260;408;8.90;17.50;5.7;3.07
AS250N      ;N;31-1-2022 13:23;PM2N013128  ;61297;258.6;404;8.70;17.30;5.7;3.04
AS250N      ;N;31-1-2022 13:56;PM2N013129  ;61297;254.4;405;8.60;17.60;5.5;3.20
AS250N      ;N;31-1-2022 14:29;PM2N013130  ;61297;255.9;412;8.60;17.10;5.7;3.00
AS250N      ;N;31-1-2022 15:01;PM2N013131  ;61297;253.4;415;8.00;18.20;6.3;2.89
AS250N      ;N;31-1-2022 15:32;PM2N013132  ;61297;254.3;413;8.40;18.00;6.3;2.86
AS250N      ;N;31-1-2022 16:04;PM2N013133  ;61297;252;420;7.30;19.50;6.1;3.20
AS250N      ;N;31-1-2022 16:35;PM2N013134  ;61297;250.2;407;7.60;19.20;6;3.20
AS250N      ;N;31-1-2022 17:07;PM2N013135  ;61297;249.8;401;7.90;17.70;5.7;3.11
AS250N      ;N;31-1-2022 17:40;PM2N013136  ;61297;249;402;8.20;17.00;5.6;3.04
AS250N      ;N;31-1-2022 18:12;PM2N013137  ;61297;250.2;409;8.10;17.00;5.7;2.98
AS250N      ;N;31-1-2022 18:44;PM2N013138  ;61297;249.9;412;8.20;17.40;5.4;3.22
AS250N      ;N;31-1-2022 19:16;PM2N013139  ;61297;251.2;413;8.40;17.10;5.5;3.11
AS250N      ;N;31-1-2022 19:50;PM2N013140  ;61297;251.7;417;8.40;17.10;5.6;3.05
AS250N      ;N;31-1-2022 20:22;PM2N013141  ;61297;249.9;413;8.30;17.00;5.5;3.09
AS250N      ;N;31-1-2022 20:55;PM2N013142  ;61297;249.2;410;8.10;16.80;5.4;3.11
AS195N      ;N;31-1-2022 21:50;PM2N013144  ;61293;189.1;298;7.60;7.20;2.6;2.77
AS195N      ;N;31-1-2022 22:29;PM2N013145  ;61293;192.8;302;8.00;7.40;2.7;2.74
AS195N      ;N;31-1-2022 23:06;PM2N013146  ;61293;194.9;310;8.50;7.70;3;2.57
AS195N      ;N;31-1-2022 23:41;PM2N013147  ;61293;193.7;309;8.40;7.70;2.9;2.66
AS195N      ;N;1-2-2022 0:19;PM2P010101  ;61293;196.2;303;8.50;6.80;2.6;2.62
AS195N      ;N;1-2-2022 0:57;PM2P010102  ;61293;194.7;305;8.40;6.90;2.7;2.56
AS195N      ;N;1-2-2022 1:34;PM2P010103  ;61293;194.2;303;8.70;6.80;2.6;2.62
AS195N      ;N;1-2-2022 2:12;PM2P010104  ;61293;196;300;8.90;6.90;2.8;2.46
AS195N      ;N;1-2-2022 2:53;PM2P010105  ;61293;194.9;302;8.20;6.90;2.7;2.56
AS195N      ;N;1-2-2022 3:31;PM2P010106  ;61293;194.9;304;8.40;6.50;2.6;2.50
AS195N      ;N;1-2-2022 4:08;PM2P010107  ;61293;195.3;304;8.40;6.70;2.6;2.58
AS195N      ;N;1-2-2022 4:45;PM2P010108  ;61293;195.6;304;8.40;6.70;2.7;2.48
AS195N      ;N;1-2-2022 5:22;PM2P010109  ;61293;196.7;306;8.30;6.90;2.8;2.46
AS195N      ;N;1-2-2022 5:59;PM2P010110  ;61293;196.4;307;8.30;6.90;2.9;2.38
AS195N      ;N;1-2-2022 6:36;PM2P010111  ;61293;194.7;305;8.40;6.90;2.8;2.46
AS195N      ;N;1-2-2022 7:13;PM2P010112  ;61293;198;313;8.80;7.00;2.8;2.50
AS195N      ;N;1-2-2022 7:42;PM2P010113  ;61293;194.7;309;8.50;6.90;2.7;2.56
AS195N      ;N;1-2-2022 8:23;PM2P010114  ;61293;194.1;311;8.50;6.70;2.7;2.48
AS225N      ;N;1-2-2022 9:10;PM2P010116  ;61295;218.3;352;8.00;11.00;3.9;2.82
AS225N      ;N;1-2-2022 9:45;PM2P010117  ;61295;224.8;357;8.50;12.00;4;3.00
AS225N      ;N;1-2-2022 10:19;PM2P010118  ;61295;226.7;367;8.40;11.50;4.5;2.56
AS225N      ;N;1-2-2022 10:53;PM2P010119  ;61295;226.9;367;8.60;11.40;4.4;2.59
AS225N      ;N;1-2-2022 11:27;PM2P010120  ;61295;223.3;358;7.80;12.00;4.5;2.67
AS225N      ;N;1-2-2022 12:00;PM2P010121  ;61295;224.7;360;8.10;12.00;4.5;2.67
AS225N      ;N;1-2-2022 12:34;PM2P010122  ;61295;222.8;359;7.90;12.30;4.6;2.67
AS225N      ;N;1-2-2022 13:08;PM2P010123  ;61295;223.1;359;8.30;12.50;4.5;2.78
AS225N      ;N;1-2-2022 13:41;PM2P010124  ;61295;225.9;361;8.30;13.00;4.7;2.77
AS225N      ;N;1-2-2022 14:14;PM2P010125  ;61295;224.9;360;8.50;13.10;4.7;2.79
AS225N      ;N;1-2-2022 14:48;PM2P010126  ;61295;226.7;365;8.00;12.60;4.8;2.63
AS225N      ;N;1-2-2022 15:21;PM2P010127  ;61295;226.2;364;8.50;12.30;4.7;2.62
AS225N      ;N;1-2-2022 15:53;PM2P010128  ;61295;224.8;367;7.50;12.30;4.5;2.73
AS225N      ;N;1-2-2022 16:26;PM2P010129  ;61295;224.2;369;7.20;12.40;4.5;2.76
AS225N      ;N;1-2-2022 16:59;PM2P010130  ;61295;224.3;366;7.20;11.80;4.2;2.81
AS225N      ;N;1-2-2022 17:33;PM2P010131  ;61295;222.7;360;7.30;11.20;4;2.80
AS225N      ;N;1-2-2022 18:08;PM2P010132  ;61295;221.7;364;7.80;11.50;4;2.88
AS225N      ;N;1-2-2022 18:42;PM2P010133  ;61295;221.2;367;8.10;11.60;4.1;2.83
AS225N      ;N;1-2-2022 19:15;PM2P010134  ;61295;221.2;367;8.00;11.90;4.1;2.90
AS330N      ;N;1-2-2022 20:11;PM2P010136  ;61299;329.6;602;8.00;38.30;13.5;2.84
AS330N      ;N;1-2-2022 20:46;PM2P010137  ;61299;331.4;593;8.30;38.30;13.3;2.88
AS330N      ;N;1-2-2022 21:22;PM2P010138  ;61299;332.1;586;9.20;38.70;14;2.76
AS330N      ;N;1-2-2022 21:58;PM2P010139  ;61299;325.9;582;9.00;36.70;13.5;2.72
AS330N      ;N;1-2-2022 22:33;PM2P010140  ;61299;326.3;587;8.70;36.40;13.4;2.72
AS330N      ;N;1-2-2022 23:08;PM2P010141  ;61299;336.6;613;8.50;36.00;13.8;2.61
AS330N      ;N;1-2-2022 23:13;PM2P010142  ;61299;332.1;601;8.50;36.40;13.1;2.78
AS330N      ;N;2-2-2022 0:16;PM2P010201  ;61299;332;592;8.70;36.30;13.2;2.75
AS330N      ;N;2-2-2022 0:52;PM2P010202  ;61299;336.6;599;9.00;36.20;13.1;2.76
AS330N      ;N;2-2-2022 1:26;PM2P010203  ;61299;336.4;605;9.90;36.50;13.2;2.77
AS330N      ;N;2-2-2022 2:00;PM2P010204  ;61299;334.7;604;8.60;36.60;13.1;2.79
AS330N      ;N;2-2-2022 2:34;PM2P010205  ;61299;333.8;606;8.10;36.50;13.2;2.77
AS330N      ;N;2-2-2022 3:08;PM2P010206  ;61299;330.6;609;8.10;36.10;13.1;2.76
AS330N      ;N;2-2-2022 3:42;PM2P010207  ;61299;329.3;608;8.10;36.40;13.1;2.78
